Station,Event,Sensor File,Peak Acceleration (cm/s²),Peak Velocity (cm/s),Arias Intensity (m/s)
24260,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_32_5_38457511.V2,19.027,3.244,0.01742831218204732
24260,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_32_9_38457511.V2,46.011,6.705,0.12020991380402593
24260,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_32_11_38457511.V2,42.836,6.174,0.09458871633289263
24260,Ridgecrest Earthquake of 05 Jul 2019,GM_X_32_4_38457511.V2,30.914,4.181,0.03610588932965816
24260,Ridgecrest Earthquake of 05 Jul 2019,GM_X_32_7_38457511.V2,35.579,5.776,0.07792797433235606
24260,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_32_8_38457511.V2,32.609,5.096,0.06002001393934211
24260,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_32_12_38457511.V2,58.606,8.316,0.1974690940026021
24260,Ridgecrest Earthquake of 05 Jul 2019,GM_X_32_2_38457511.V2,15.142,2.954,0.012119117457624945
24260,Ridgecrest Earthquake of 04 Jul 2019,GM_Y_32_6_38443183.V2,22.424,3.403,0.020813488751412135
24260,Ridgecrest Earthquake of 04 Jul 2019,GM_Y_32_3_38443183.V2,9.795,1.521,0.0032045728157409333
24260,Ridgecrest Earthquake of 04 Jul 2019,GM_X_32_10_38443183.V2,47.629,5.45,0.08998996442177533
24260,Ridgecrest Earthquake of 04 Jul 2019,GM_Z_32_1_38443183.V2,6.492,1.042,0.0013124611901074782
24260,Ridgecrest Earthquake of 04 Jul 2019,GM_Y_32_9_38443183.V2,50.145,6.733,0.12222724177300147
24260,Ridgecrest Earthquake of 04 Jul 2019,GM_Y_32_5_38443183.V2,16.697,2.596,0.011062531692017789
24260,Ridgecrest Earthquake of 04 Jul 2019,GM_X_32_4_38443183.V2,18.956,2.233,0.01583495273361745
24260,Ridgecrest Earthquake of 04 Jul 2019,GM_Y_32_11_38443183.V2,47.497,6.003,0.07717864088578548
24260,Ridgecrest Earthquake of 04 Jul 2019,GM_Y_32_12_38443183.V2,61.997,8.287,0.19734324449690474
24260,Ridgecrest Earthquake of 04 Jul 2019,GM_X_32_2_38443183.V2,10.684,1.274,0.004628838341386609
24260,Ridgecrest Earthquake of 04 Jul 2019,GM_X_32_7_38443183.V2,39.037,4.302,0.0610591576456686
